-== Watchman Report ==- 

-== Missing 1 service(s) from 50 found in your config:
+--------------------------------+---------+--------------------------------------------------------------+
| Service ID                     | State   | Location                                                     |
| sensor.lywsd03mmc_temperature  | missing | custom_components/xiaomi_miot/services.yaml:267              |
| sensor.xiaomi_device           | missing | custom_components/xiaomi_miot/services.yaml:282              |
| camera.generic_stream          | missing | custom_components/webrtc/services.yaml:20,66                 |
| media_player.mibox4            | missing | custom_components/webrtc/services.yaml:51                    |
| script.execute                 | missing | esphome/domofon_packages/base.yaml:14,15                     |
| binary_sensor.is_off           | missing | esphome/domofon_packages/binary_sensor.yaml:41               |
| binary_sensor.is_on            | missing | esphome/domofon_packages/binary_sensor.yaml:58,78            |
| light.is_on                    | missing | esphome/domofon_packages/number.yaml:16                      |
| light.control                  | missing | esphome/domofon_packages/number.yaml:18                      |
| binary_sensor.lr_work          | missing | packages/automation_day.yaml:29                              |
| binary_sensor.dd_holiday       | unknown | packages/automation_day.yaml:30,55,61,118                    |
| ('dd_holiday')                 |         |                                                              |
| binary_sensor.control          | unknown | packages/control.yaml:19                                     |
| ('control')                    |         |                                                              |
| switch.sonoff_bathroom_fan     | missing | packages/my_sonoff_devices.yaml:75,77                        |
| light.sonoff_100010913a        | unavail | packages/my_sonoff_devices.yaml:184                          |
| ('Light')                      |         |                                                              |
| binary_sensor.zwave_motion_sen | missing | packages/my_sonoff_devices.yaml:484,523                      |
| sor                            |         |                                                              |
| switch.manual_entrance_light   | unknown | packages/my_sonoff_devices.yaml:553,575                      |
| ('Manual Entrance Light')      |         |                                                              |
| switch.manual_storeroom_light  | unknown | packages/my_sonoff_devices.yaml:597,619                      |
| ('Manual Storeroom Light')     |         |                                                              |
| binary_sensor.zwave_corridor_l | missing | packages/zwave_package.yaml:326                              |
| ight_no_current                |         |                                                              |
| input_boolean.kitchen_blinds_p | missing | packages/cover.yaml:12,16,25,44                              |
| ath_unsafe                     |         |                                                              |
| binary_sensor.kitchen_blinds_b | missing | packages/cover.yaml:36                                       |
| lock_contact                   |         |                                                              |
| input_boolean.turn_            | missing | packages/cover.yaml:42                                       |
| sensor.strava_access_token     | unknown | sensors/strava.yaml:36                                       |
| ('Strava Access Token')        |         |                                                              |
| sensor.strava_last_activity    | unknown | sensors/strava.yaml:48,50,54,56,60,62,89,91,118,120,124,126, |
| ('Strava Last Activity')       |         | 130,132,136,138,142,143,148,149,155,159,160,165              |
| input_number.bedroom_aircon_fa | missing | automation/bedroom_aircon_temp.yaml:135                      |
| n                              |         |                                                              |
| sensor.facebox_detection       | unavail | automation/facebox.yaml:53,66,79,105,118                     |
| ('Facebox detection')          |         |                                                              |
| sensor.facebox_push_detection  | missing | automation/facebox.yaml:92                                   |
| sensor.sn1_pir                 | missing | automation/automations.yaml:135                              |
| device_tracker.iphone7         | missing | automation/automations.yaml:254                              |
| device_tracker.oneplus9pro_2   | missing | automation/automations.yaml:326,345                          |
| media_player.vlcmp             | missing | automation/triggerattributes.yaml:8                          |
| sensor.aeon_labs_zw100_multise | missing | automation/telegram.yaml:400                                 |
| nsor_6_temperature             |         |                                                              |
| sensor.aeon_labs_zw100_multise | missing | automation/telegram.yaml:400                                 |
| nsor_6_relative_humidity       |         |                                                              |
| sensor.corridor2switch_status  | unknown | .storage/lovelace.lovelace_tests:40                          |
| ('Corridor@GswitchMQTT         |         |                                                              |
| status')                       |         |                                                              |
| binary_sensor.sn1_pir ('SN1    | unknown | .storage/lovelace:46                                         |
| PIR')                          |         |                                                              |
| switch.balcony_light_left      | unknown | .storage/lovelace:142                                        |
| ('Balcony Light Left')         |         |                                                              |
| switch.balcony_light_right     | unknown | .storage/lovelace:145                                        |
| ('Balcony Light Right')        |         |                                                              |
| sensor.senseair_co2_value      | unknown | .storage/lovelace:382,909                                    |
| ('SenseAir CO2 Value')         |         |                                                              |
| sensor.cgdn1_cloud_624826_off  | unknown | .storage/lovelace:518                                        |
